mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.1195490837097168,0.007914996933376356,0.008313846588134766,0.00041376018866966794,4,100,"{'max_depth': 4, 'n_estimators': 100}",0.9326923076923077,0.9326923076923077,0.9615384615384616,0.9038461538461539,0.8932038834951457,0.9247946228528754,0.024131596299838777,8,0.9566265060240964,0.946987951807229,0.9590361445783132,0.9542168674698795,0.96875,0.9571234939759037,0.007074723519375057
0.2896603584289551,0.01672560417200782,0.019378805160522462,0.0007888285070097255,4,250,"{'max_depth': 4, 'n_estimators': 250}",0.9326923076923077,0.9423076923076923,0.9519230769230769,0.9134615384615384,0.883495145631068,0.9247759522031366,0.024245073418908074,10,0.9566265060240964,0.944578313253012,0.9493975903614458,0.9518072289156626,0.9663461538461539,0.9537511584800742,0.0073996626794071005
0.6051519870758056,0.02679064458409647,0.03946995735168457,0.0016865183201513353,4,500,"{'max_depth': 4, 'n_estimators': 500}",0.9326923076923077,0.9423076923076923,0.9615384615384616,0.8942307692307693,0.8932038834951457,0.9247946228528754,0.027023377547250312,8,0.9566265060240964,0.9421686746987952,0.944578313253012,0.9518072289156626,0.9663461538461539,0.9523053753475439,0.008700850184821723
0.11606335639953613,0.004317274979986545,0.008379888534545899,0.0005866584434162248,6,100,"{'max_depth': 6, 'n_estimators': 100}",0.9423076923076923,0.9423076923076923,0.9615384615384616,0.9038461538461539,0.9029126213592233,0.9305825242718446,0.023296721716696927,2,0.9855421686746988,0.9879518072289156,0.9855421686746988,0.9759036144578314,0.9903846153846154,0.985064874884152,0.004919722119782191
0.3167684078216553,0.00861468268420794,0.023688220977783205,0.0034219017594433795,6,250,"{'max_depth': 6, 'n_estimators': 250}",0.9230769230769231,0.9519230769230769,0.9519230769230769,0.9134615384615384,0.8932038834951457,0.9267176997759521,0.02272786406034318,6,0.983132530120482,0.980722891566265,0.983132530120482,0.9759036144578314,0.9903846153846154,0.9826552363299352,0.004680112679957028
0.6156324863433837,0.03625261363122967,0.040288114547729494,0.0024536154636019283,6,500,"{'max_depth': 6, 'n_estimators': 500}",0.9326923076923077,0.9326923076923077,0.9615384615384616,0.8942307692307693,0.8932038834951457,0.9228715459297984,0.026032630947100076,12,0.9855421686746988,0.9879518072289156,0.983132530120482,0.980722891566265,0.9879807692307693,0.9850660333642262,0.0028160751507899408
0.13732728958129883,0.026247215813285697,0.008214473724365234,0.00028664362875075025,8,100,"{'max_depth': 8, 'n_estimators': 100}",0.9326923076923077,0.9326923076923077,0.9615384615384616,0.9230769230769231,0.883495145631068,0.9266990291262136,0.02516076321594248,7,0.9975903614457832,1.0,1.0,0.9951807228915662,1.0,0.9985542168674698,0.0019277108433735034
0.306412935256958,0.0027783994928752944,0.021128368377685548,0.0017591684341339566,8,250,"{'max_depth': 8, 'n_estimators': 250}",0.9423076923076923,0.9519230769230769,0.9615384615384616,0.9038461538461539,0.9029126213592233,0.9325056011949215,0.02454846109823134,1,1.0,1.0,0.9975903614457832,0.9975903614457832,0.9975961538461539,0.9985553753475441,0.0011795329857939307
0.6446078777313232,0.013950374048990606,0.041405534744262694,0.00253005622030595,8,500,"{'max_depth': 8, 'n_estimators': 500}",0.9423076923076923,0.9423076923076923,0.9615384615384616,0.8942307692307693,0.883495145631068,0.9247759522031366,0.03034244258089044,10,0.9975903614457832,0.9975903614457832,0.9975903614457832,0.9951807228915662,1.0,0.9975903614457831,0.0015239892338160983
0.12614040374755858,0.0023337206020211236,0.008711433410644532,0.0003995212391862336,10,100,"{'max_depth': 10, 'n_estimators': 100}",0.9423076923076923,0.9519230769230769,0.9615384615384616,0.9038461538461539,0.883495145631068,0.9286221060492906,0.029879783592745814,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.32691168785095215,0.02000784151680603,0.021656370162963866,0.0021069972953806173,10,250,"{'max_depth': 10, 'n_estimators': 250}",0.9519230769230769,0.9519230769230769,0.9615384615384616,0.8942307692307693,0.8932038834951457,0.930563853622106,0.030290987322597444,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.5946974277496337,0.008540939837718697,0.038788366317749026,0.0016316894987588413,10,500,"{'max_depth': 10, 'n_estimators': 500}",0.9615384615384616,0.9326923076923077,0.9615384615384616,0.8942307692307693,0.8932038834951457,0.928640776699029,0.030399842936725457,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
